titre	identifiant	prix	prix soldé	état	disponibilité	Canal	libellé du flux	langue	canonical link	catégorie	description	gtin	identifiant groupe	lien	lien image	lien image supplémentaire	livraison(frais livraison:pays livraison)	marque	taille	tous les clics	tranche d'âge	étiquette personnalisée 0	étiquette personnalisée 1	étiquette personnalisée 2	étiquette personnalisée 3	étiquette personnalisée 4
Sudadera Futbol Hombre Puma Individualcup 1/4 zi	658483-53	55.00 EUR	33.00 EUR		en stock	Magasin en ligne	ES	es	https://www.base.net/puma-individualcup-1-4-zi-white-fire-or-658483-53	Futbol > Sudadera	Sudadera Futbol Puma Individualcup 1/4 zi Hombre	4099683750353	658483-53	https://lp.base.net/puma-individualcup-1-4-zi-white-fire-or-658483-53?lpoid=ecb2265cb0c984ba69186e531cd02c6b1a26fa8a	https://www.base.net/media/catalog/product/0/1/01_658483_53.jpg	https://www.base.net/media/catalog/product/0/2/02_658483_53.jpg,https://www.base.net/media/catalog/product/0/3/03_658483_53.jpg,https://www.base.net/media/catalog/product/0/4/04_658483_53.jpg	3.99 EUR:ES	Puma	S	4	adulte	Dataiads-allcategs-var	Futbol	Hombre	"REBAJAS"	REBAJAS-ENERO-25
Mochila Outdoor Unisex Regatta Survivor Iii 35l	EU141-800	90.00 EUR	36.00 EUR		en stock	Magasin en ligne	ES	es	https://www.base.net/regatta-survivor-iii-35l-black-eu141-800	Outdoor > Mochila	Mochila Outdoor Regatta Survivor Iii 35l Unisex	5020436595159	EU141-800	https://lp.base.net/regatta-survivor-iii-35l-black-eu141-800?lpoid=8a066fb9caf593a73e538b6c90e81d540fb4619d	https://www.base.net/media/catalog/product/0/1/01_eu141_800.jpg		3.99 EUR:ES	Regatta	SGL	16	adulte	Dataiads-allcategs-var	Outdoor	Unisex	"outlet-base"	BF-DOS-CUATRO
Nike Nsw Sos Flc po	dx2295			neuf	non disponible	Magasin en ligne	ES	es			Sudadera con capucha de polar para niños talla grande. No creemos que puedas tener demasiados diseños de Swoosh, o sudaderas con capucha, para el caso. El suave tejido Fleece y el ajuste clásico hacen que este se sienta tan cómodo que querrás volver a usarlo una y otra vez, semana tras semana.  COMPOSICIÓN Y TECNOLOGÍA   El tejido Fleece se siente súper suave y tiene una sensación ligeramente difusa en el interior para que puedas mantenerte abrigado y cómodo.  Los puños y el dobladillo acanalados ayudan a mantener la sudadera con capucha en su lugar mientras te mueves.  Ajuste estándar para una sensación cómoda y relajada.  Bolsillo canguro.  Cuerpo: 80 % algodón/20 % poliéster. Forro de la capucha: 100% algodón. Canalé: 97 % algodón/3 % spandex.  80% Algodon.  20% Poliéster.			https://canarias.base.net/nike-nsw-sos-flc-po-midnight-navy-dx2295-410	https://www.base.net/media/catalog/product/0/1/01_dx2295_410.jpg		:ES	Nike		0						
Zapatillas Casual Unisex Converse El Distrito 2.0	167008C-001	55.00 EUR	41.25 EUR		en stock	Magasin en ligne	ES	es	https://www.base.net/converse-el-distrito-2-0-black-167008c-001	Casual > Zapatillas	Zapatillas Casual Converse El Distrito 2.0 Unisex	888757900824	167008C-001	https://lp.base.net/converse-el-distrito-2-0-black-167008c-001?lpoid=18baeb39a7ab4039ac25efb4692166e45b218a86	https://www.base.net/media/catalog/product/0/1/01_167008c_001.jpg		3.99 EUR:ES	Converse	44	22	adulte	Dataiads-allcategs-ori	Casual	Unisex	"SUMMER"	REBAJAS-ENERO-25
Pantalon Outdoor Mujer The North Face Aphrodite Jogger	NF0A5JA9JK3-JK3	85.00 EUR	63.75 EUR		en stock	Magasin en ligne	ES	es	https://www.base.net/the-north-face-aphrodite-jogger-tnf-black-nf0a5ja9jk3-jk3	Outdoor > Pantalon	Pantalon Outdoor The North Face Aphrodite Jogger Mujer	196011025351	NF0A5JA9JK3-JK3	https://lp.base.net/the-north-face-aphrodite-jogger-tnf-black-nf0a5ja9jk3-jk3?lpoid=f308796315e7b50e517f9bb8a7ef8191f3968c04	https://www.base.net/media/catalog/product/0/1/01_nf0a5ja9jk3_jk3.jpg	https://www.base.net/media/catalog/product/0/2/02_nf0a5ja9jk3_jk3.jpg	0.00 EUR:ES	The North Face	XS	0	adulte	Dataiads-allcategs-var	Outdoor	Mujer	"REBAJAS"	REBAJAS-ENERO-25
Zapatillas Running Mujer Zapatilla Running Mujer 4dfwd 3 W adidas Performance	IG8992	220.00 EUR	154.00 EUR		en stock	Magasin en ligne	ES	es	https://www.base.net/zapatilla-running-mujer-4dfwd-3-w-adidas-performance-ftwwht-ftwwht-cwhite-ig8992	Running > Zapatillas	Zapatillas Running Zapatilla Running Mujer 4dfwd 3 W adidas Performance Mujer	4066766653665	IG8992	https://lp.base.net/zapatilla-running-mujer-4dfwd-3-w-adidas-performance-ftwwht-ftwwht-cwhite-ig8992?lpoid=4393c8dca5de2326724ed1a63b83193e4f92659c	https://www.base.net/media/catalog/product/0/1/01_ig8992.jpg	https://www.base.net/media/catalog/product/0/2/02_ig8992.jpg,https://www.base.net/media/catalog/product/0/3/03_ig8992.jpg,https://www.base.net/media/catalog/product/0/4/04_ig8992.jpg	0.00 EUR:ES	adidas	38	3	adulte	Dataiads-allcategs-var	Running	Mujer		REBAJAS-ENERO-25
Malla Running Hombre Puma Run Favorite Long ti	523161-01	55.00 EUR	35.75 EUR		en stock	Magasin en ligne	ES	es	https://www.base.net/puma-run-favorite-long-ti-black-523161-01	Running > Malla	Malla Running Puma Run Favorite Long ti Hombre	4065453541803	523161-01	https://lp.base.net/puma-run-favorite-long-ti-black-523161-01?lpoid=5256cb3b160270e89c38f4c3f861264e6d097977	https://www.base.net/media/catalog/product/0/1/01_523161_01.jpg	https://www.base.net/media/catalog/product/0/1/01_523161_01.jpg,https://www.base.net/media/catalog/product/0/2/02_523161_01.jpg,https://www.base.net/media/catalog/product/0/3/03_523161_01.j	3.99 EUR:ES	Puma	S	1	adulte	Dataiads-allcategs-var	Running	Hombre	"REBAJAS"	REBAJAS-ENERO-25
Camiseta Casual Junior adidas Cotton Loose Fit Boyfriend 3 Bandas	IC3637	23.00 EUR	18.40 EUR		en stock	Magasin en ligne	ES	es	https://www.base.net/adidas-cotton-loose-fit-boyfriend-3-bandas-mgreyh-white-ic3637	Casual > Camiseta	Camiseta Casual adidas Cotton Loose Fit Boyfriend 3 Bandas Junior	4066752467221	IC3637	https://lp.base.net/adidas-cotton-loose-fit-boyfriend-3-bandas-mgreyh-white-ic3637?lpoid=a37326a83ff578f7680949df26311afb029332df	https://www.base.net/media/catalog/product/0/1/01_ic3637.jpg	https://www.base.net/media/catalog/product/0/2/02_ic3637.jpg,https://www.base.net/media/catalog/product/0/3/03_ic3637.jpg,https://www.base.net/media/catalog/product/0/4/04_ic3637.jpg	3.99 EUR:ES	adidas	9-10 años	0	enfants	Dataiads-allcategs-ori	Casual	Junior	"CAMPAMENTO"	REBAJAS-ENERO-25
Camiseta Casual Hombre Camiseta Casual Hombre M Fi 3s T adidas Sportswear	IR9169	35.00 EUR	22.75 EUR		en stock	Magasin en ligne	ES	es	https://www.base.net/camiseta-casual-hombre-m-fi-3s-t-adidas-sportswear-segrsp-ir9169	Casual > Camiseta	Camiseta Casual Camiseta Casual Hombre M Fi 3s T adidas Sportswear Hombre	4067892530097	IR9169	https://lp.base.net/camiseta-casual-hombre-m-fi-3s-t-adidas-sportswear-segrsp-ir9169?lpoid=816fabc0c62acc1a8171d1e8d41b5e3f87dabdf9	https://www.base.net/media/catalog/product/0/1/01_ir9169.jpg	https://www.base.net/media/catalog/product/0/2/02_ir9169.jpg,https://www.base.net/media/catalog/product/0/3/03_ir9169.jpg,https://www.base.net/media/catalog/product/0/4/04_ir9169.jpg	3.99 EUR:ES	adidas Sportswear	S	1	adulte	Dataiads-allcategs-var	Casual	Hombre	"SUMMER"	REBAJAS-ENERO-25
Camiseta Casual Hombre Nike Sportswear T-Shirt	FQ3794-010	34.99 EUR	27.99 EUR		en stock	Magasin en ligne	ES	es	https://www.base.net/nike-sportswear-t-shirt-black-fq3794-010	Casual > Camiseta	Camiseta Casual Nike Sportswear T-Shirt Hombre	196975211159	FQ3794-010	https://lp.base.net/nike-sportswear-t-shirt-black-fq3794-010?lpoid=db4382f5866702a9c7aa9468602567667d783903	https://www.base.net/media/catalog/product/0/1/01_fq3794_010.jpg	https://www.base.net/media/catalog/product/0/2/02_fq3794_010.jpg,https://www.base.net/media/catalog/product/0/3/03_fq3794_010.jpg	3.99 EUR:ES	Nike	XS	1	adulte	Dataiads-allcategs-ori	Casual	Hombre	"SUMMER"	REBAJAS-ENERO-25
Pantalon Futbol Hombre adidas Squadra 21	GT6642	50.00 EUR	40.00 EUR		en stock	Magasin en ligne	ES	es	https://www.base.net/adidas-squadra-21-black-gt6642	Futbol > Pantalon	Pantalon Futbol adidas Squadra 21 Hombre	4064045298835	GT6642	https://lp.base.net/adidas-squadra-21-black-gt6642?lpoid=91c93e06126ceb286619e76bb4da83ee6501ffc8	https://www.base.net/media/catalog/product/0/1/01_gt6642.jpg		3.99 EUR:ES	adidas	XS	0	adulte	Dataiads-allcategs-ori	Futbol	Hombre	"REBAJAS"	REBAJAS-ENERO-25
Camiseta Casual Junior Nike Sportswear	DX2297-410	24.99 EUR	13.74 EUR		en stock	Magasin en ligne	ES	es	https://www.base.net/nike-sportswear-midnight-navy-dx2297-410	Casual > Camiseta	Camiseta Casual Nike Sportswear Junior	196150286125	DX2297-410	https://lp.base.net/nike-sportswear-midnight-navy-dx2297-410?lpoid=bde53091b6c7753350f551f6c4bea22898cd9852	https://www.base.net/media/catalog/product/0/1/01_dx2297_410.jpg	https://www.base.net/media/catalog/product/0/2/02_dx2297_410.jpg	3.99 EUR:ES	Nike	4-5 años	34	enfants	Dataiads-allcategs-var	Casual	Junior	"outlet-base"	REBAJAS-ENERO-25
Accesorios Casual Unisex Crep Protect Eraser - Suede And Nubuck	4016109000	10.00 EUR	8.50 EUR		en stock	Magasin en ligne	ES	es	https://www.base.net/crep-protect-eraser-suede-and-nubuck-color-generico-4016109000	Casual > Accesorios	Accesorios Casual Crep Protect Eraser - Suede And Nubuck Unisex	5056243300112	4016109000	https://lp.base.net/crep-protect-eraser-suede-and-nubuck-color-generico-4016109000?lpoid=411ebee450209f6ac393c7f2cbaec400268610b9	https://www.base.net/media/catalog/product/0/1/01_4016109000.jpg	https://www.base.net/media/catalog/product/0/2/02_4016109000.jpg,https://www.base.net/media/catalog/product/0/3/03_4016109000.jpg,https://www.base.net/media/catalog/product/0/4/04_4016109000	3.99 EUR:ES	Crep Protect	T.U	0	adulte	Dataiads-allcategs-ori	Casual	Unisex	"REBAJAS"	REBAJAS-ENERO-25
Pantalon Casual Hombre Champion Pantalón Jogging	218475S23-BS501	49.90 EUR	22.46 EUR		en stock	Magasin en ligne	ES	es	https://www.base.net/champion-pantalon-jogging-nny-wht-218475s23-bs501	Casual > Pantalon	Pantalon Casual Champion Pantalón Jogging Hombre	8054112930443	218475S23-BS501	https://lp.base.net/champion-pantalon-jogging-nny-wht-218475s23-bs501?lpoid=cd795105f55defe5c965ee09d22f4898ac2305d9	https://www.base.net/media/catalog/product/0/1/01_218475s23_bs501.jpg		3.99 EUR:ES	Champion	L	3	adulte	Dataiads-allcategs-var	Casual	Hombre	"outlet-base"	BF-DOS-CUATRO
Sudadera Casual Mujer Nike Club Flc Fz Hoodie Std	DQ5471-657	69.99 EUR	52.49 EUR		en stock	Magasin en ligne	ES	es	https://www.base.net/nike-club-flc-fz-hoodie-std-university-red-white-dq5471-657	Casual > Sudadera	Sudadera Casual Nike Club Flc Fz Hoodie Std Mujer	196607848678	DQ5471-657	https://lp.base.net/nike-club-flc-fz-hoodie-std-university-red-white-dq5471-657?lpoid=11873598e6add91f0af110c50d89cd3e91ded3d7	https://www.base.net/media/catalog/product/0/1/01_dq5471_657.jpg	https://www.base.net/media/catalog/product/0/2/02_dq5471_657.jpg,https://www.base.net/media/catalog/product/0/3/03_dq5471_657.jpg,https://www.base.net/media/catalog/product/0/4/04_dq5471_657	0.00 EUR:ES	Nike	S	7	adulte	Dataiads-allcategs-ori	Casual	Mujer	"REBAJAS"	REBAJAS-ENERO-25
Asics GeL-Pulse 13	1011b175	55.00 EUR		neuf	en stock	Magasin en ligne	ES	es			Las zapatillas GEL-PULSE 13 crean la amortiguación que necesitas para que te concentres en tu entrenamiento. Tanto si estás corriendo como si estás en el gimnasio, estas zapatillas ofrecen un óptimo confort para una zancada suave. Las zapatillas están diseñadas con un ajuste más cómodo que se adapta a una gama más amplia de formas de pies. El empeine cuenta además con nuestra malla jacquard de diseño especial, que mejora la circulación del aire para que tus pies se mantengan frescos. Bajo los pies, la remodelada amortiguación AMPLIFOAM y la tecnología GEL se encargan de producir una zancada suave pero reactiva.  COMPOSICIÓN Y TECNOLOGÍA   Empeine de malla jacquard que favorece la transpirabilidad.  Amortiguación con tecnología AMPLIFOAM .  Amortiguación con tecnología GEL que ofrece una excelente absorción de impactos.  Tecnología GUIDANCE LINE que mejora la eficiencia de la pisada.			https://canarias.base.net/gel-pulse-13-black-hazard-green-1011b175-004	https://www.base.net/media/catalog/product/0/1/01_1011b175_403.jpg	https://www.base.net/media/catalog/product/0/1/01_1011b175_004.jpg	:ES	Asics		2						
Camiseta Outdoor Hombre Columbia Camiseta Técnica Zero Rules Hombre	1533313-350	35.00 EUR	28.00 EUR		en stock	Magasin en ligne	ES	es	https://www.base.net/columbia-camiseta-tecnica-zero-rulestm-hombre-niagara-heather-1533313-350	Outdoor > Camiseta	Camiseta Outdoor Columbia Camiseta Técnica Zero Rules™ Hombre Hombre	195978547715	1533313-350	https://lp.base.net/columbia-camiseta-tecnica-zero-rulestm-hombre-niagara-heather-1533313-350?lpoid=ae0745900478cebecdb9d4434881da661b08da6d	https://www.base.net/media/catalog/product/0/1/01_1533313_350.jpg	https://www.base.net/media/catalog/product/0/2/02_1533313_350.jpg,https://www.base.net/media/catalog/product/0/3/03_1533313_350.jpg,https://www.base.net/media/catalog/product/0/4/04_1533313	3.99 EUR:ES	Columbia	L	1	adulte	Dataiads-allcategs-ori	Outdoor	Hombre	"SUMMER"	REBAJAS-ENERO-25
